Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
03/19/2023,,,,,82032,0.95,72936,0.77,16471,0.93,880371,1.09,,
03/18/2023,,,,,102021,0.95,101788,0.75,16828,0.99,924274,1.06,,
03/17/2023,,,,,199191,0.64,171443,0.62,28094,0.94,965113,1.05,,
03/16/2023,3946310,0.71,1323909,0.59,209838,0.67,187573,0.68,30151,1.01,976134,1.06,7553,0.47
03/15/2023,3907144,0.7,1445163,0.64,205092,0.65,187128,0.68,29687,1,916918,1,7246,0.45
03/14/2023,3573339,0.64,1337972,0.6,189402,0.6,159031,0.58,26262,0.88,775384,0.84,6681,0.42
03/13/2023,3352033,0.6,1365182,0.61,179787,0.57,157311,0.57,26027,0.88,852961,0.93,6357,0.4
03/12/2023,1773186,0.77,684269,0.69,75970,0.88,70404,0.75,16644,0.94,832873,1.03,1544,0.49
03/11/2023,2230109,0.73,819612,0.62,78979,0.73,88667,0.65,15493,0.91,842108,0.97,1796,0.35
03/10/2023,3501889,0.63,1405338,0.63,182873,0.58,160551,0.58,28209,0.95,964271,1.05,6135,0.38
03/09/2023,3827531,0.69,1512488,0.67,201711,0.64,186197,0.68,29847,1,944406,1.02,7208,0.45
03/08/2023,3842762,0.69,1512477,0.67,203258,0.65,186940,0.68,30476,1.02,918426,1,7452,0.47
03/07/2023,3773709,0.68,1489516,0.66,205559,0.66,186615,0.68,28417,0.96,887227,0.96,7607,0.48
03/06/2023,3426989,0.62,1460109,0.65,185896,0.59,163314,0.59,27550,0.93,875696,0.95,6849,0.43
03/05/2023,1772121,0.77,712408,0.72,81079,0.93,72918,0.77,16956,0.96,831376,1.03,1215,0.39
03/04/2023,2173217,0.71,870341,0.65,96720,0.9,84352,0.62,16263,0.96,844751,0.97,1449,0.29
03/03/2023,3481830,0.63,1417670,0.63,172623,0.55,150603,0.55,27298,0.92,933992,1.01,6167,0.39
03/02/2023,3765925,0.68,1493623,0.67,195243,0.62,176678,0.64,28978,0.97,934427,1.01,7434,0.47
03/01/2023,3780713,0.68,1511792,0.67,192142,0.61,176661,0.64,29449,0.99,901530,0.98,7403,0.46
02/28/2023,3412079,0.63,1349173,0.63,177532,0.59,139326,0.52,26116,0.89,751643,0.85,6690,0.41
02/27/2023,3337916,0.62,1423292,0.66,180277,0.6,160346,0.6,26730,0.91,854625,0.97,6752,0.42
02/26/2023,1625191,0.74,676041,0.69,74226,0.95,67702,0.74,15891,0.94,807475,1.07,1095,0.39
02/25/2023,2043635,0.71,800947,0.63,86403,0.92,81742,0.62,15461,0.95,831613,1,1396,0.33
02/24/2023,3246699,0.6,1246797,0.58,179793,0.59,153058,0.57,26077,0.89,928057,1.05,5551,0.34
02/23/2023,3498367,0.64,1328927,0.62,188438,0.62,167193,0.62,27336,0.93,906322,1.03,6695,0.41
