name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york city,1/1/2021,39.8,35.9,38.4,37.6,28.5,32.9,29,69.3,0.128,100,33.33,rain,0,0,18.3,15.7,41.7,1029.3,37.9,9.6,48.5,4.2,3,,2021-01-01T07:20:13,2021-01-01T16:39:34,0.59,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,1/2/2021,53.8,37.9,43.3,53.8,31,39.7,35.6,76.1,0.035,100,20.83,rain,0,0,35.1,18,306.4,1012.9,53,8.7,89.4,7.7,5,,2021-01-02T07:20:18,2021-01-02T16:40:26,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,1/3/2021,39.7,37,38.1,34.5,26.8,30,33.1,82.5,0.013,100,33.33,rain,0,0,26.4,19.4,34,1017.1,70.9,8.7,10.3,1.1,1,,2021-01-03T07:20:21,2021-01-03T16:41:19,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,1/4/2021,44.8,37,40.1,42.3,30.5,36.8,33.9,78.8,0.003,100,12.5,rain,0,0,17.2,11.4,14,1015,88.1,9.9,68.2,6,4,,2021-01-04T07:20:21,2021-01-04T16:42:14,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,1/5/2021,42.1,38,39.7,42,32.7,36.3,31.4,71.8,0,0,0,,0,0,,9,19.7,1013.5,99.9,9.9,34.8,3.1,2,,2021-01-05T07:20:19,2021-01-05T16:43:10,0.73,Overcast,Cloudy skies throughout the day.,cloudy,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,1/6/2021,45.8,35.9,39.3,44.6,31.6,36.1,27.8,64.1,0.018,100,8.33,rain,0,0,47.7,7.6,303.8,1015.6,41.4,9.9,98.3,8.6,5,,2021-01-06T07:20:14,2021-01-06T16:44:07,0.75,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,1/7/2021,46.6,33.1,37.6,45.2,28.6,34.5,23.3,56.8,0.009,100,4.17,rain,0,0,36.7,6.9,320.2,1019,0.3,9.9,104.3,9,5,,2021-01-07T07:20:08,2021-01-07T16:45:06,0.8,Rain,Clear conditions throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,1/8/2021,38.8,29.9,34.4,38.8,23.2,29,23.5,64.7,0,0,0,,0,0,24.2,11.3,17.4,1015.6,1.1,9.9,58.2,4.9,3,,2021-01-08T07:19:59,2021-01-08T16:46:06,0.84,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,1/9/2021,38.8,28,34,38.7,20.4,29.5,19.8,56.5,0,0,0,,0,0,34.6,9.1,22.1,1012.6,31.4,9.9,89.2,7.6,5,,2021-01-09T07:19:48,2021-01-09T16:47:08,0.88,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,1/10/2021,46.6,31.9,37.3,45.4,26.2,33.9,21.2,52.7,0,0,0,,0,0,21.9,8.1,345,1022.3,0.6,9.9,103.9,8.8,4,,2021-01-10T07:19:34,2021-01-10T16:48:10,0.91,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,1/11/2021,37.1,31.8,34.6,37.1,26.3,31.9,23.8,64.7,0,0,0,,0,0,,6.9,272.2,1025.4,10.3,9.9,47.7,4.2,2,,2021-01-11T07:19:19,2021-01-11T16:49:14,0.95,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,1/12/2021,46.8,33.2,38.7,46,26.4,34.4,26.4,62.3,0,0,0,,0,0,,8,257.7,1020.1,6.9,9.8,104.6,9.1,5,,2021-01-12T07:19:01,2021-01-12T16:50:18,0.98,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,1/13/2021,44,36.1,39.5,39.4,32.4,35.1,26.9,60.6,0,0,0,,0,0,19.7,14.5,256.7,1016.6,80.1,9.9,60.8,5.2,3,,2021-01-13T07:18:41,2021-01-13T16:51:24,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,1/14/2021,51.9,38.1,43.6,51.9,33,41.3,31.6,63.2,0,0,0,,0,0,,6.7,271.8,1010.9,34.3,9.8,76.3,6.8,3,,2021-01-14T07:18:19,2021-01-14T16:52:30,0.05,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,1/15/2021,46.1,38.9,42.8,39.8,30.5,36.2,37.4,81.4,0.109,100,12.5,rain,0,0,29.6,20.2,47.5,1013.4,74.8,8.4,30.7,2.6,2,,2021-01-15T07:17:54,2021-01-15T16:53:38,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,1/16/2021,47,38.9,43.1,42.9,31.8,38,37.1,79.9,0.51,100,37.5,rain,0,0,30.1,20.7,328.8,998.5,82.7,9.5,44.6,3.7,2,,2021-01-16T07:17:28,2021-01-16T16:54:46,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,1/17/2021,45.9,37.1,40.6,41.2,27.5,33,26.9,58.3,0,0,0,,0,0,32.2,24,266.6,1003.5,60.9,9.9,77,6.7,4,,2021-01-17T07:16:59,2021-01-17T16:55:55,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,1/18/2021,46.9,38.1,41.5,45.5,30.3,36.2,27.9,58.9,0,0,0,,0,0,30.8,17.9,264.1,1008.1,47,9.9,97.4,8.4,5,,2021-01-18T07:16:28,2021-01-18T16:57:04,0.18,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,1/19/2021,42.9,35.1,38.4,37.3,28,31.6,24.7,58.3,0,0,0,,0,0,36,20.2,263.9,1017.7,43.6,9.9,82.5,7.1,4,,2021-01-19T07:15:55,2021-01-19T16:58:15,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,1/20/2021,41.9,29.8,36.3,40.8,26.1,32.6,21,54.9,0.01,100,8.33,"rain,snow",0,0,34.1,13.5,278.3,1014.9,57.3,9.5,91.1,7.8,5,,2021-01-20T07:15:20,2021-01-20T16:59:25,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,1/21/2021,43,28.1,35.1,39.4,20.4,29.5,20.8,56,0,0,0,,0,0,23,14.9,245.5,1009.2,19.4,9.9,86.7,7.5,5,,2021-01-21T07:14:43,2021-01-21T17:00:37,0.27,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,1/22/2021,44.9,37.9,40.5,41,31.7,35.7,24.4,53.1,0,0,0,,0,0,28.9,16.7,269.8,1006.7,72.6,9.9,56.9,4.9,3,,2021-01-22T07:14:03,2021-01-22T17:01:49,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,1/23/2021,37.1,26,32,33.2,21.3,26.9,12.1,43.5,0,0,0,,0,0,33.9,8.4,302.7,1017.7,41.7,9.9,107.4,9.4,5,,2021-01-23T07:13:22,2021-01-23T17:03:01,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,1/24/2021,35.6,24.9,29.4,33.1,17.7,24.6,9.9,44.2,0,0,0,,0,0,35.8,8.5,301.9,1021.7,14.6,9.9,109.8,9.5,5,,2021-01-24T07:12:39,2021-01-24T17:04:14,0.37,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,1/25/2021,40.8,25.9,33,40.7,19.2,28.2,16.5,50.9,0,0,0,,0,0,19.7,10.1,353.3,1020,22,9.9,101.6,9,5,,2021-01-25T07:11:54,2021-01-25T17:05:27,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,1/26/2021,35.9,33.1,34.9,29,23.1,26.8,25.9,71.2,0.007,100,29.17,"rain,snow",0,0,17.2,15.6,39.8,1015.1,96.9,8,23.7,1.9,1,,2021-01-26T07:11:07,2021-01-26T17:06:40,0.43,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
